-858993460 -858993460
Gladiator1 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator2 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator3 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator4 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator5 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator6 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator7 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator8 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
Gladiator9 -858993472.000000 -858993472.000000 -858993472.000000 -858993472.000000 0 0 0 0 0
testiator9 10.000000 7.000000 6.000000 4.000000 0 0 0 2 0
