1 1
Gladiator3 4.000000 7.742999 8.743000 6.742999 0 9 4 0 2
Gladiator7 0.000000 9.743000 9.743000 5.742999 0 8 5 0 2
Gladiator9 0.000000 4.742999 6.742999 4.742999 0 8 5 0 2
Gladiator6 5.000000 9.743000 8.743000 5.742999 0 8 5 0 2
Gladiator5 0.000000 9.743000 5.742999 7.742999 0 7 6 0 2
Gladiator4 0.000000 8.743000 8.743000 6.742999 0 6 7 0 1
Gladiator1 0.000000 6.742999 5.742999 4.742999 0 5 8 0 2
Cosmintor1 0.000000 5.742999 9.715000 7.714999 0 5 8 2 0
Gladiator8 9.000000 9.743000 6.742999 5.742999 0 5 8 0 0
Gladiator2 9.000000 7.742999 9.743000 7.742999 0 4 9 0 0
