1 1
Gladiator1      11.000000 8.223000 9.223000 4.223000 0 5 0 0 2
Gladiator2      10.000000 9.223000 9.223000 8.223000 0 4 1 0 1
Gladiator4      10.000000 8.223000 6.223000 6.223000 0 3 2 0 2
Gladiator8      10.000000 6.223000 9.223000 7.223000 0 3 2 0 0
Gladiator6      11.000000 6.223000 8.223000 6.223000 0 3 2 0 0
Gladiator5      9.000000 7.223000 9.223000 5.223000 0 2 3 0 0
Gladiator3      10.000000 7.223000 5.223000 4.223000 0 2 3 0 0
Gladiator9      11.000000 8.223000 6.223000 7.223000 0 2 3 0 0
Steven          9.000000 8.223000 5.615000 3.115000 0 1 4 2 0
Gladiator7      11.000000 6.223000 8.223000 6.223000 0 0 5 0 0
